temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2003,2004",2004-05-26,15:45:00,Final,Jogo Único,Veltins-Arena,Kim Milton Nielsen,53040,61973,AS Mônaco,Futebol Clube do Porto,Adi Hütter,Sérgio Conceição,34,29,2023-07-04,2017-07-01,2025-06-30,2024-06-30,1.79,2.02,344500000,289000000,12760000,10320000,15,7,10,4,27,18,,137750,24.2,26.5,0,3,0,0,0,1,,,,,,,,,,,,,,
"2004,2005",2005-05-25,15:45:00,Final,Jogo Único,Atatürk Olimpiyat Stadyum,Mejuto González,72059,76092,AC Milan,FC Liverpool,Stefano Pioli,Jürgen Klopp,39,37,2019-10-09,2015-10-08,2025-06-30,2026-06-30,1.54,1.87,543250000,877300000,19400000,33740000,15,17,5,7,21,21,,,26.3,26.1,5,6,,1,,,,,,,,,,,,,,,,
"2005,2006",2006-05-17,15:45:00,Final,Jogo Único,Stade de France,Terje Hauge,79500,,FC Barcelona,FC Arsenal,Xavi,Mikel Arteta,26,24,2021-11-06,2019-12-22,2025-06-30,2025-06-30,2.14,1.94,862000000,1100000000,41050000,43820000,16,21,2,2,10,18,170000,130000,26.6,25.7,2,1,0,0,0,1,,,,,,,,,,,,,,
"2006,2007",2007-05-23,15:45:00,Final,Jogo Único,"Olympiakó Stádio Athinon ""Spyros Louis""",Herbert Fandel,63000,,FC Liverpool,AC Milan,Jürgen Klopp,Stefano Pioli,39,41,2015-10-08,2019-10-09,2026-06-30,2025-06-30,1.87,1.54,877300000,543250000,33740000,19400000,17,15,7,5,21,21,,,26.1,26.3,1,2,0,0,0,1,,,,,,,,,,,,,,
"2007,2008",2008-05-21,15:45:00,Final,Jogo Único,Luzhniki Stadium,Lubos Michel,69552,78000,Manchester United FC,Chelsea FC,Erik ten Hag,Mauricio Pochettino,38,36,2022-07-01,2023-07-01,2025-06-30,2025-06-30,2.09,1.68,877300000,999000000,28300000,33300000,22,20,1,11,22,20,150000,30000,26.2,23.7,6,5,,1,,,,,,,,,,,,,,,,
"2008,2009",2009-05-27,15:45:00,Final,Jogo Único,Olimpico di Roma,Massimo Busacca,67000,,FC Barcelona,Manchester United FC,Xavi,Erik ten Hag,29,39,2021-11-06,2022-07-01,2025-06-30,2025-06-30,2.14,2.09,862000000,877300000,41050000,28300000,16,22,2,1,10,22,170000,150000,26.6,26.2,2,0,0,0,1,0,,,,,,,,,,,,,,
"2009,2010",2010-05-22,15:45:00,Final,Jogo Único,Santiago Bernabéu,Howard Webb,74954,,FC Internazionale,FC Bayern Munique,Simone Inzaghi,Thomas Tuchel,34,36,2021-06-03,2023-03-25,2025-06-30,2025-06-30,1.92,1.93,563350000,897700000,22530000,34530000,19,18,2,5,16,14,110280,300000,28.8,26.4,2,0,0,0,1,0,,,,,,,,,,,,,,
"2010,2011",2011-05-28,15:45:00,Final,Jogo Único,Wembley Stadium,Viktor Kassai,86000,,FC Barcelona,Manchester United FC,Xavi,Erik ten Hag,31,41,2021-11-06,2022-07-01,2025-06-30,2025-06-30,2.14,2.09,862000000,877300000,41050000,28300000,16,22,2,1,10,22,170000,150000,26.6,26.2,3,1,0,0,1,1,,,,,,,,,,,,,,
"2011,2012",2012-05-19,15:45:00,Final,Jogo Único,Allianz Arena,Pedro Proença,66000,,FC Bayern Munique,Chelsea FC,Thomas Tuchel,Mauricio Pochettino,38,40,2023-03-25,2023-07-01,2025-06-30,2025-06-30,1.93,1.68,897700000,999000000,34530000,33300000,18,20,5,11,14,20,300000,30000,26.4,23.7,4,5,,1,,,20,1,13,25,27,14,2,6,1,2,7,3,12,3
"2012,2013",2013-05-25,15:45:00,Final,Jogo Único,Wembley Stadium,Nicola Rizzoli,86298,,Borussia Dortmund,FC Bayern Munique,Edin Terzic,Thomas Tuchel,30,39,2022-07-01,2023-03-25,2025-06-30,2025-06-30,2.01,1.93,467000000,897700000,16680000,34530000,19,18,3,5,13,14,175000,300000,25.9,26.4,1,2,0,0,0,0,6,8,11,6,10,12,7,6,1,4,7,9,2,4
"2013,2014",2014-05-24,15:45:00,Final,Jogo Único,Estádio da Luz,Björn Kuipers,60976,65647,Real Madrid CF,Atlético de Madrid,Carlo Ancelotti,Diego Simeone,54,44,2021-07-01,2011-12-23,2024-06-30,2024-06-30,2.01,1.91,1030000000,472000000,44610000,19670000,19,14,0,2,15,14,93176,128249,27.6,29.1,4,1,1,0,,,,,,,,,,,,,,,,
"2014,2015",2015-06-06,15:45:00,Final,Jogo Único,Olympiastadion Berlin,Cüneyt Cakir,70442,74244,Juventus FC,FC Barcelona,Massimiliano Allegri,Xavi,47,35,2021-05-28,2021-11-06,2025-06-30,2025-06-30,1.85,2.14,420200000,862000000,17510000,41050000,16,16,5,2,12,10,111000,170000,27.2,26.6,1,3,0,0,0,1,8,6,25,12,12,26,6,5,1,0,6,9,8,9
"2015,2016",2016-05-28,15:45:00,Final,Jogo Único,Giuseppe Meazza,Mark Clattenburg,71942,85454,Real Madrid CF,Atlético de Madrid,Carlo Ancelotti,Diego Simeone,56,46,2021-07-01,2011-12-23,2024-06-30,2024-06-30,2.01,1.91,1030000000,472000000,44610000,19670000,19,14,0,2,15,14,93176,128249,27.6,29.1,6,4,,1,,,7,6,17,17,19,17,3,6,0,2,7,4,6,9
"2016,2017",2017-06-03,15:45:00,Final,Jogo Único,Millennium Stadium,Dr. Felix Brych,65842,66000,Juventus FC,Real Madrid CF,Massimiliano Allegri,Carlo Ancelotti,49,57,2021-05-28,2021-07-01,2025-06-30,2024-06-30,1.85,2.01,420200000,1030000000,17510000,44610000,16,19,5,0,12,15,111000,93176,27.2,27.6,1,4,0,0,1,1,1,1,22,17,17,24,1,4,2,0,5,5,1,5
"2017,2018",2018-05-26,15:45:00,Final,Jogo Único,NSK Olimpisky,Milorad Mazic,61561,70050,Real Madrid CF,FC Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,9,5,6,17,20,13,1,3,7,3,5,2,6,3
"2018,2019",2019-06-01,16:00:00,Final,Jogo Único,Civitas Metropolitano,Damir Skomina,63272,,"Tottenham Hotspur ",FC Liverpool,Ange Postecoglou,Jürgen Klopp,53,51,2023-07-01,2015-10-08,2027-06-30,2026-06-30,1.81,1.87,747600000,877300000,25780000,33740000,21,17,7,7,21,21,,,26,26.1,0,2,0,0,0,1,8,9,4,6,8,7,1,8,3,2,8,3,5,5
"2019,2020",2020-08-23,16:00:00,Final,Jogo Único,Estádio da Luz,Daniele Orsato,0,65000,FC Paris Saint-Germain,FC Bayern Munique,Luis Enrique,Thomas Tuchel,50,46,2023-07-05,2023-03-25,2025-06-30,2025-06-30,1.96,1.93,1070000000,897700000,36790000,34530000,18,18,7,5,17,14,,300000,25.6,26.4,0,1,0,0,0,0,4,4,16,22,22,15,1,3,2,1,10,12,4,5
"2020,2021",2021-05-29,16:00:00,Final,Jogo Único,Estádio do Dragão,Mateu Lahoz,14110,50399,Manchester City FC,Chelsea FC,Pep Guardiola,Mauricio Pochettino,50,49,2016-07-01,2023-07-01,2025-06-30,2025-06-30,2.35,1.68,1260000000,999000000,52700000,33300000,20,20,3,11,17,20,,30000,27.1,23.7,0,1,0,0,0,1,3,1,14,13,13,13,1,1,1,3,7,8,2,5
"2021,2022",2022-05-28,16:37:00,Final,Jogo Único,Stade de France,Clément Turpin,75000,,FC Liverpool,Real Madrid CF,Jürgen Klopp,Carlo Ancelotti,54,62,2015-10-08,2021-07-01,2026-06-30,2024-06-30,1.87,2.01,877300000,1030000000,33740000,44610000,17,19,6,0,21,15,,93176,26.1,27.6,0,1,0,0,0,0,6,2,13,7,6,12,0,9,1,4,24,4,6,2
